sentence_id,text,mean_eeg_faa_z,ai_valence,ai_valence_z,alignment_score
24,This led to his being hired by Westinghouse company to service their steam engines.,-1.0668016878454385,-0.990298330783844,-2.530925053560284,2.6999951189484177
406,"On August 10, 2002 he married Lisa Marie Presley and filed for divorce less than four months later.",-0.9114594216150558,-0.9701145887374878,-2.5004099493516634,2.279022206236598
390,"During this time, he was prescribed Ritalin for hyperactivity; years later, his wife Courtney Love blamed Ritalin for his addiction to heroin.",-0.8466014224890424,-0.9950699806213379,-2.5381391465517495,2.148792211945835
389,"Together, Professor J. Laurence Laughlin and Roosevelt's girlfriend and future wife, Alice Hathaway Lee, convinced Roosevelt to drop natural history in favor of politics.",-0.8025716816969233,-0.9737069606781006,-2.505841132720543,2.0111171319528496
10,His support abated as the United States entered WWII.,-0.7659820917031647,-0.9678842425346375,-2.4970379657697803,1.9126863640825515
337,"At the age of 17, Franklin ran away to Philadelphia, seeking a new start in a new city.",-0.8282313086268605,-0.8121294975280762,-2.261557733018771,1.8730929207533324
357,"He did not complete his degree, choosing instead to seek his fortune in the United States of America; but the First World War intervened.",-0.7050333862468401,-0.9918270111083984,-2.533236212675294,1.7860161051855827
341,"Details of Cheney's second Wyoming arrest, in July 1963, have fallen victim to time and record destruction practices.",-0.6563839612969116,-0.9953674077987671,-2.5385888164540344,1.6662889834481376
121,"By 1936 he had grown bored with Hollywood, and abandoned his film career.",-0.6379749096878211,-0.9996761083602905,-2.5451029923851705,1.6237118517131324
345,"In 1961 he participated in a CIA mission to Congo, in which he used his athletic ability to rescue US citizens from mobs, but was also reportedly involved in the assassination of Prime Minister Patrice Lumumba.",-0.6913087347667315,-0.8622138500213623,-2.3372785399951863,1.6157810702815056
359,His parents were both members of the Nazi party.,-0.5518334580078983,-0.966174840927124,-2.494453580373462,1.3765229450976706
397,"After the media caught wind of the comment, he apologized.",-0.5261362592580235,-0.9956804513931274,-2.5390620962790447,1.3358926333600922
352,"He left in November 1923 to become president of sales for Stedman Products of South Braintree, Massachusetts.",-0.5680216807577818,-0.8690275549888611,-2.3475799457827,1.3334763065167514
387,These events soon led to the American Civil War.,-0.4976059074009956,-0.9620487093925476,-2.4882154242641095,1.2381506940000955
358,"He received his ""boot"" training at Paris Island, South Carolina.",-0.5032531442935894,-0.9155774712562561,-2.417957160401262,1.216844543739134
398,"He purchased a commission in the army, but sold it again without serving, and in August 1827 married, in opposition to his mother's wishes, Rosina Doyle Wheeler (1802-1882).",-0.49347702136191174,-0.8057705163955688,-2.251943808530762,1.1112825229081598
361,He moved to San Juan where he started to work for the Texas Company as a file clerk.,-0.4762926428623692,-0.701769232749939,-2.094707850947287,0.9976939383522371
370,"His fourth wife was Elaine Barrie (nee Elaine Jacobs, 1916-2003), an actress; they married on November 9, 1936 and divorced in 1940.",-0.40762085254211156,-0.7639380097389221,-2.1886986829735897,0.8921592231114914
360,"After he graduated basic training, he was sent to Camp Lejuene in North Carolina where he underwent advanced training before being sent to Korea.",-0.34150541883551633,-0.9844992756843567,-2.5221576619504447,0.8613305087135932
17,"On May 26, 1943, Edsel Ford died, leaving a vacancy in the company presidency.",-0.3252454880086632,-0.9961230158805847,-2.5397311942799394,0.8260361116944039
163,"Bush began his oil industry career in 1979 when he established Arbusto Energy with Salem bin Laden, an oil and gas exploration company he financed with his education trust fund surplus and money from other investors.",-0.36038187517283815,-0.7953264713287354,-2.236153816623316,0.8058693056096095
287,Clooney left AMC to run as a Democrat in the 2004 election for a seat in the House of Representatives representing Kentucky's 4th Congressional district.,-0.29965261957653994,-0.9832786917686462,-2.520312303181108,0.7552181837992017
115,"Within two years he had left Kulenkamp and become an assistant at Lilienthal Observatory near Bremen, Germany.",-0.3300028261838428,-0.791202187538147,-2.2299184540544386,0.7358793919974703
118,"After his loss, he went back to writing a column for The Cincinnati Post three times a week that has a wide range of topics.",-0.2844868502497506,-0.8669313192367554,-2.344410719170785,0.6669540211886493
369,"He married Blanche Marie Louise Oelrichs (1890-1950), a New York mining heiress who wrote under the pseudonym ""Michael Strange,"" on August 5, 1920 and divorced her in 1925.",-0.26788800152473724,-0.9503234028816223,-2.470488337322692,0.6618141834755469
169,"Married to Almira Geraldine Goodsell, he built up the National City Bank of New York, and his son William Goodsell Rockefeller and Elsie Stillman, daughter of National City Bank president James Stillman, were the parents of James Stillman Rockefeller.",1.2348800126099477,0.9977467656135559,0.4747318334863485,0.5862368525219657
201,"He achieved national fame as a hero of the American Civil War, in which he commanded Union forces as a general, and as general-in-chief (1864 - 1869).",1.1776622862487618,0.9994572997093201,0.47731793105263526,0.5621193259509752
204,"He participated in various commands in the Pacific Theater and earned the rank of lieutenant, commanding a patrol torpedo boat or PT boat.",1.1627755967040196,0.9902352690696716,0.46337546065553836,0.5388016777617436
188,"As a child, Hillary was interested in sports, her church, and her school, a public school in Park Ridge.",1.1108115571443602,0.9981719255447388,0.4753746181382519,0.5280516198010572
316,He was noted for his involvement in conservation and the protection of wildlife.,1.1036748723152896,0.9996520280838013,0.47761233417302895,0.5271287319346252
142,Ball however was elected to the Senate for the same seat in 1942.,-0.2229059847260276,-0.8033621311187744,-2.24830265380697,0.5011601170089838
280,Benjamin Everett Jordan (8 September 1896 - 15 March 1974) was a Democratic U.S. senator from the state of North Carolina between 1958 and 1973.,1.15115246815011,0.9714871644973755,0.43503084728187463,0.5007868335699636
103,"His father-in-law, George Herbert Walker, and Walker's partner, Averell Harriman, brought him on as an officer in their investment banking firm, W. A. Harriman and Company in 1926.",1.0143382773064666,0.9985803365707397,0.47599208069746146,0.4828169871461837
195,"Julius Henry Marx, known as Groucho Marx (October 2, 1890 - August 19, 1977), was an American comedian, working both with his siblings, the Marx Brothers, and on his own.",1.011109024132241,0.9947056174278259,0.4701340263211425,0.47535675656493165
177,"In 1999 Bush cofounded a educational-software company, Ignite!, which uses multiple intelligence methods to provide varying types of content to appeal to multiple learning styles.",0.9857160486903203,0.9914602041244507,0.46522739776212274,0.4585821122645596
206,"Ronald Wilson Reagan (February 6, 1911 - June 5, 2004) was the 40th President of the United States (1981 - 1989) and the 33rd Governor of California (1967 - 1975).",0.9562807920024815,0.9981539845466614,0.4753474937613806,0.45456567781052765
228,"Josiah Wedgwood (July 12, 1730 - January 3, 1795) was an English potter, credited with the industrialisation of the manufacture of pottery.",0.947224650584617,0.9948537945747375,0.470358050244405,0.4455347397924183
205,"In this he was assisted by his son, William.",0.9690707398160161,0.9833157658576965,0.45291410214727196,0.4389058040409635
